Title,File Name,Blog Title,Blog URL
EVASIVE SERPENS,evasive-serpens.json,Agonizing Serpens (Aka Agrius) Targeting the Israeli Higher ...,https://unit42.paloaltonetworks.com/agonizing-serpens-targets-israeli-tech-higher-ed-sectors/
EVASIVE SERPENS,evasive-serpens.json,pan-unit42/playbook_viewer - GitHub,https://github.com/pan-unit42/playbook_viewer
EVASIVE SERPENS,evasive-serpens.json,Than Meets the Eye: Exposing a Polyglot File That Delivers IcedID,https://unit42.paloaltonetworks.com/polyglot-file-icedid-payload/
FIGHTING URSA,fighting-ursa.json,Fighting Ursa Aka APT28: Illuminating a Covert Campaign - Unit 42,https://unit42.paloaltonetworks.com/russian-apt-fighting-ursa-exploits-cve-2023-233397/
FIGHTING URSA,fighting-ursa.json,Russia's Trident Ursa (aka Gamaredon APT) Cyber Conflict ... - Unit 42,https://unit42.paloaltonetworks.com/trident-ursa/
FIGHTING URSA,fighting-ursa.json,Ukraine Archives - Unit 42,https://unit42.paloaltonetworks.com/tag/ukraine/
FIGHTING URSA,fighting-ursa.json,Russia Archives - Unit 42,https://unit42.paloaltonetworks.com/tag/russia/
FIGHTING URSA,fighting-ursa.json,APT28 Archives - Unit 42,https://unit42.paloaltonetworks.com/tag/apt28/
FIGHTING URSA,fighting-ursa.json,APT Archives - Unit 42,https://unit42.paloaltonetworks.com/tag/apt/
FIGHTING URSA,fighting-ursa.json,Diplomats Beware: Cloaked Ursa Phishing With a Twist - Unit 42,https://unit42.paloaltonetworks.com/cloaked-ursa-phishing/
PRYING LIBRA,pryinglibra.json,Why LaZagne Makes D-Bus API Vigilance Crucial - Unit 42,https://unit42.paloaltonetworks.com/lazagne-leverages-d-bus/
OBSCURE SERPENS,obscureserpens.json,,
MOLDY PISCES,moldypisces.json,,
RANCOR TAURUS,rancortaurus.json,"Mike Harbison, Author at Unit 42",https://unit42.paloaltonetworks.com/author/mike-harbison/
RANCOR TAURUS,rancortaurus.json,Remote Access Trojan Archives - Unit 42,https://unit42.paloaltonetworks.com/tag/remote-access-trojan/
RANCOR TAURUS,rancortaurus.json,"Jen Miller-Osborn, Author at Unit 42 - Palo Alto Networks",https://unit42.paloaltonetworks.com/author/jen-miller-osborn/
RANCOR TAURUS,rancortaurus.json,"Josh Grunzweig, Author at Unit 42",https://unit42.paloaltonetworks.com/author/joshgruznweig/
STALKER TAURUS,stalkertaurus.json,,
SHALLOW TAURUS,shallowtaurus.json,,
GRANITE TAURUS,granite-taurus.json,,
IRON TAURUS,iron-taurus.json,Stately Taurus Linked to Attacks on Southeast Asian Government,https://unit42.paloaltonetworks.com/stately-taurus-attacks-se-asian-government/
IRON TAURUS,iron-taurus.json,Rare Backdoors Suspected to be Tied to Gelsemium APT Found in ...,https://unit42.paloaltonetworks.com/rare-possible-gelsemium-attack-targets-se-asia/
IRON TAURUS,iron-taurus.json,Chinese Playful Taurus Activity in Iran - Unit 42 - Palo Alto Networks,https://unit42.paloaltonetworks.com/playful-taurus/
IRON TAURUS,iron-taurus.json,IronNetInjector: Turla's New Malware Loading Tool - Unit 42,https://unit42.paloaltonetworks.com/ironnetinjector/
BOGGY SERPENS,boggyserpens.json,,
RADIO SERPENS,radioserpens.json,,
AGED LIBRA,agedlibra.json,P2PInfect: The Rusty Peer-to-Peer Self-Replicating Worm - Unit 42,https://unit42.paloaltonetworks.com/peer-to-peer-worm-p2pinfect/
AGED LIBRA,agedlibra.json,Unit 42 Threat Group Naming Update - Palo Alto Networks,https://unit42.paloaltonetworks.com/unit-42-threat-group-naming-update/
MULE LIBRA,mulelibra.json,,
CLEAN URSA,clean-ursa.json,Fighting Ursa Aka APT28: Illuminating a Covert Campaign - Unit 42,https://unit42.paloaltonetworks.com/russian-apt-fighting-ursa-exploits-cve-2023-233397/
CLEAN URSA,clean-ursa.json,Threat Group Assessment: Turla (aka Pensive Ursa) - Unit 42,https://unit42.paloaltonetworks.com/turla-pensive-ursa-threat-assessment/
CLEAN URSA,clean-ursa.json,Unit 42 Intel Objects Feed - Cortex XSOAR,https://xsoar.pan.dev/docs/reference/integrations/unit42-intel-objects-feed
CLEAN URSA,clean-ursa.json,Unit 42 ATOMs Feed - Cortex XSOAR,https://xsoar.pan.dev/docs/reference/integrations/unit42v2-feed
PASTY DRACO,pastydraco.json,,
GOLFING TAURUS,golfing-taurus.json,,
CRAWLING TAURUS,crawling-taurus.json,,
WINDY PHOENIX,windyphoenix.json,,
STATELY TAURUS,statelytaurus.json,Stately Taurus Targets the Philippines As Tensions Flare in ... - Unit 42,https://unit42.paloaltonetworks.com/stately-taurus-targets-philippines-government-cyberespionage/
STATELY TAURUS,statelytaurus.json,Stately Taurus Archives - Unit 42,https://unit42.paloaltonetworks.com/tag/stately-taurus/
STATELY TAURUS,statelytaurus.json,Stately Taurus Linked to Attacks on Southeast Asian Government,https://unit42.paloaltonetworks.com/stately-taurus-attacks-se-asian-government/
STATELY TAURUS,statelytaurus.json,Unit 42 Researchers Discover Multiple Espionage Operations ...,https://unit42.paloaltonetworks.com/analysis-of-three-attack-clusters-in-se-asia/
STATELY TAURUS,statelytaurus.json,Attacks on Southeast Asian Government Have Links to Alloy Taurus,https://unit42.paloaltonetworks.com/alloy-taurus-targets-se-asian-government/
STATELY TAURUS,statelytaurus.json,Rare Backdoors Suspected to be Tied to Gelsemium APT Found in ...,https://unit42.paloaltonetworks.com/rare-possible-gelsemium-attack-targets-se-asia/
CROOKED PISCES,crooked-pisces.json,,
HUNTER SERPENS,hunter-serpens.json,,
MAZE RANSOMWARE,maze-ransomware.json,Threat Brief: Maze Ransomware - Unit 42,https://unit42.paloaltonetworks.com/threat-brief-maze-ransomware-activities/
MAZE RANSOMWARE,maze-ransomware.json,Highlights from the 2021 Unit 42 Ransomware Threat Report,https://unit42.paloaltonetworks.com/ransomware-threat-report-highlights/
MAZE RANSOMWARE,maze-ransomware.json,2022 Unit 42 Ransomware Threat Report Highlights,https://unit42.paloaltonetworks.com/2022-ransomware-threat-report-highlights/
MAZE RANSOMWARE,maze-ransomware.json,Ransomware Threat Assessments - Unit 42 - Palo Alto Networks,https://unit42.paloaltonetworks.com/ransomware-threat-assessments/
MAZE RANSOMWARE,maze-ransomware.json,Threat Assessment: Egregor Ransomware - Unit 42,https://unit42.paloaltonetworks.com/egregor-ransomware-courses-of-action/
