name,url,report_name,file_name,file_url
MAR-10448362-1.v1 Volt Typhoon,https://www.cisa.gov/news-events/analysis-reports/ar24-038a,MAR-10448362-1.v1 Volt Typhoon,MAR-10448362.c1.v1.CLEAR_.pdf,https://www.cisa.gov/sites/default/files/2024-02/MAR-10448362.c1.v1.CLEAR_.pdf
MAR-10448362-1.v1 Volt Typhoon,https://www.cisa.gov/news-events/analysis-reports/ar24-038a,AR24-038A STIX JSON,MAR-10448362.c1.v1.CLEAR_stix2.json,https://www.cisa.gov/sites/default/files/2024-02/MAR-10448362.c1.v1.CLEAR_stix2.json
MAR-10478915-1.v1 Citrix Bleed,https://www.cisa.gov/news-events/analysis-reports/ar23-325a,MAR-10478915-1.v1 Citrix Bleed,MAR-10478915.r1.v1.CLEAR_.pdf,https://www.cisa.gov/sites/default/files/2023-11/MAR-10478915.r1.v1.CLEAR_.pdf
MAR-10478915-1.v1 Citrix Bleed,https://www.cisa.gov/news-events/analysis-reports/ar23-325a,AR23-325A JSON,MAR-10478915.r1.v1.CLEAR_stix2.json,https://www.cisa.gov/sites/default/files/2023-11/MAR-10478915.r1.v1.CLEAR_stix2.json
MAR-10430311-1.v1 Multiple Nation-State Threat Actors Exploit CVE-2022-47966 and CVE-2022-42475,https://www.cisa.gov/news-events/analysis-reports/ar23-250a,MAR-10430311-1.v1 Multiple Nation-State Threat Actors Exploit CVE-2022-47966 and CVE-2022-42475,MAR-10430311.c1.v1.CLEAR_.pdf,https://www.cisa.gov/sites/default/files/2023-09/MAR-10430311.c1.v1.CLEAR_.pdf
MAR-10430311-1.v1 Multiple Nation-State Threat Actors Exploit CVE-2022-47966 and CVE-2022-42475,https://www.cisa.gov/news-events/analysis-reports/ar23-250a,AR23-250A JSON,MAR-10430311.c1.v1.CLEAR_stix2.json,https://www.cisa.gov/sites/default/files/2023-09/MAR-10430311.c1.v1.CLEAR_stix2.json
"MAR-10454006.r5.v1 SUBMARINE, SKIPJACK, SEASPRAY, WHIRLPOOL, and SALTWATER Backdoors",https://www.cisa.gov/news-events/analysis-reports/ar23-250a-0,AR23-250A_PDF,MAR-10454006.r5.v1.CLEAR__0.pdf,https://www.cisa.gov/sites/default/files/2023-09/MAR-10454006.r5.v1.CLEAR__0.pdf
"MAR-10454006.r5.v1 SUBMARINE, SKIPJACK, SEASPRAY, WHIRLPOOL, and SALTWATER Backdoors",https://www.cisa.gov/news-events/analysis-reports/ar23-250a-0,AR23-250A_JSON,MAR-10454006.r5.v1.CLEAR_stix2.json,https://www.cisa.gov/sites/default/files/2023-09/MAR-10454006.r5.v1.CLEAR_stix2.json
Infamous Chisel Malware Analysis Report,https://www.cisa.gov/news-events/analysis-reports/ar23-243a,AR23-243A STIX JSON,AR23-243A Infamous Chisel Malware Analysis Report.stix_.json,https://www.cisa.gov/sites/default/files/2023-08/AR23-243A%20Infamous%20Chisel%20Malware%20Analysis%20Report.stix_.json
Infamous Chisel Malware Analysis Report,https://www.cisa.gov/news-events/analysis-reports/ar23-243a,AR23-243A STIX XML,AR23-243A.stix_.xml,https://www.cisa.gov/sites/default/files/2023-08/AR23-243A.stix_.xml
MAR-10459736.r1.v1 WHIRLPOOL Backdoor,https://www.cisa.gov/news-events/analysis-reports/ar23-230a,AR23-230A PDF,MAR-10459736.r1.v1.CLEAR_.pdf,https://www.cisa.gov/sites/default/files/2023-08/MAR-10459736.r1.v1.CLEAR_.pdf
MAR-10459736.r1.v1 WHIRLPOOL Backdoor,https://www.cisa.gov/news-events/analysis-reports/ar23-230a,AR23-230A JSON,MAR-10459736.r1.v1.CLEAR_stix2.json,https://www.cisa.gov/sites/default/files/2023-08/MAR-10459736.r1.v1.CLEAR_stix2.json
MAR-10454006.r4.v2 SEASPY and WHIRLPOOL Backdoors,https://www.cisa.gov/news-events/analysis-reports/ar23-221a,AR23-221A PDF,MAR-10454006.r4.v2.CLEAR_.pdf,https://www.cisa.gov/sites/default/files/2023-08/MAR-10454006.r4.v2.CLEAR_.pdf
MAR-10454006.r4.v2 SEASPY and WHIRLPOOL Backdoors,https://www.cisa.gov/news-events/analysis-reports/ar23-221a,AR23-221A JSON,MAR-10454006.r4.v2.CLEAR_stix2.json,https://www.cisa.gov/sites/default/files/2023-08/MAR-10454006.r4.v2.CLEAR_stix2.json
MAR-10454006-r1.v2 SUBMARINE Backdoor,https://www.cisa.gov/news-events/analysis-reports/ar23-209a,AR23-209A PDF,MAR-10454006.r1.v2.CLEAR_.pdf,https://www.cisa.gov/sites/default/files/2023-07/MAR-10454006.r1.v2.CLEAR_.pdf
MAR-10454006-r1.v2 SUBMARINE Backdoor,https://www.cisa.gov/news-events/analysis-reports/ar23-209a,AR23-209A JSON,MAR-10454006.r1.v2.CLEAR_stix2.json,https://www.cisa.gov/sites/default/files/2023-07/MAR-10454006.r1.v2.CLEAR_stix2.json
MAR-10454006-r2.v1 SEASPY Backdoor,https://www.cisa.gov/news-events/analysis-reports/ar23-209b,AR23-209B PDF,MAR-10454006.r2.v1.CLEAR_.pdf,https://www.cisa.gov/sites/default/files/2023-07/MAR-10454006.r2.v1.CLEAR_.pdf
MAR-10454006-r2.v1 SEASPY Backdoor,https://www.cisa.gov/news-events/analysis-reports/ar23-209b,AR23-209B JSON,MAR-10454006.r2.v1.CLEAR_stix2.json,https://www.cisa.gov/sites/default/files/2023-07/MAR-10454006.r2.v1.CLEAR_stix2.json
MAR-10454006-r3.v1 Exploit Payload Backdoor,https://www.cisa.gov/news-events/analysis-reports/ar23-209c,AR23-209C PDF,MAR-10454006.r3.v1.CLEAR_.pdf,https://www.cisa.gov/sites/default/files/2023-07/MAR-10454006.r3.v1.CLEAR_.pdf
MAR-10454006-r3.v1 Exploit Payload Backdoor,https://www.cisa.gov/news-events/analysis-reports/ar23-209c,AR23-209C JSON,MAR-10454006.r3.v1.CLEAR_stix2.json,https://www.cisa.gov/sites/default/files/2023-07/MAR-10454006.r3.v1.CLEAR_stix2.json
MAR-10445155-1.v1 Truebot Activity Infects U.S. and Canada Based Networks,https://www.cisa.gov/news-events/analysis-reports/ar23-187a,MAR-10445155-1.v1 Truebot Activity Infects U.S. and Canada Based Networks,MAR-10445155.r1.v1.CLEAR_.pdf,https://www.cisa.gov/sites/default/files/2023-07/MAR-10445155.r1.v1.CLEAR_.pdf
MAR-10445155-1.v1 Truebot Activity Infects U.S. and Canada Based Networks,https://www.cisa.gov/news-events/analysis-reports/ar23-187a,AA23-187A STIX XML,AA23-187A.stix_.xml,https://www.cisa.gov/sites/default/files/2023-07/AA23-187A.stix_.xml
MAR-10445155-1.v1 Truebot Activity Infects U.S. and Canada Based Networks,https://www.cisa.gov/news-events/analysis-reports/ar23-187a,MAR-10445155-1.v1 STIX JSON,MAR-10445155.r1.v1.CLEAR_stix.json,https://www.cisa.gov/sites/default/files/2023-07/MAR-10445155.r1.v1.CLEAR_stix.json
MAR-10443863-1.v1 CVE-2017-9248 Exploitation in U.S. Government IIS Server,https://www.cisa.gov/news-events/analysis-reports/ar23-166a,MAR-10443863.r1.v1,MAR-10443863.r1.v1.CLEAR_.pdf,https://www.cisa.gov/sites/default/files/2023-06/MAR-10443863.r1.v1.CLEAR_.pdf
MAR-10443863-1.v1 CVE-2017-9248 Exploitation in U.S. Government IIS Server,https://www.cisa.gov/news-events/analysis-reports/ar23-166a,AA23-074A.stix,AA23-074A.stix_.xml,https://www.cisa.gov/sites/default/files/2023-06/AA23-074A.stix_.xml
MAR-10435108-1.v1 ICONICSTEALER,https://www.cisa.gov/news-events/analysis-reports/ar23-110a,MAR-10435108-1.v1 ICONICSTEALER,mar-10435108.r1.v1.clear_.pdf,https://www.cisa.gov/sites/default/files/2023-04/mar-10435108.r1.v1.clear_.pdf
MAR-10413062-1.v1 Telerik Vulnerability in U.S. Government IIS Server,https://www.cisa.gov/news-events/analysis-reports/ar23-074a,MAR-10413062-1.v1 Telerik Vulnerability in U.S. Government IIS Server,mar-10413062-1.v1_telerik_vulnerability_in_u.s._government_iis_server_1.pdf,https://www.cisa.gov/sites/default/files/2023-03/mar-10413062-1.v1_telerik_vulnerability_in_u.s._government_iis_server_1.pdf
MAR-10413062-1.v1 Telerik Vulnerability in U.S. Government IIS Server,https://www.cisa.gov/news-events/analysis-reports/ar23-074a,AA23-074A STIX XML,aa23-074a.stix__0.xml,https://www.cisa.gov/sites/default/files/2023-03/aa23-074a.stix__0.xml
MAR-10365227-1.v1 - Impacket,https://www.cisa.gov/news-events/analysis-reports/ar22-277a,MAR-10365227.r1.v1 - Impacket,mar-10365227.r1.v1.clear_.pdf,https://www.cisa.gov/sites/default/files/2023-06/mar-10365227.r1.v1.clear_.pdf
MAR-10365227-1.v1 - Impacket,https://www.cisa.gov/news-events/analysis-reports/ar22-277a,MAR-10365227.r1.v1 STIX XML,mar-10365227.r1.v1.clear_stix.xml,https://www.cisa.gov/sites/default/files/2023-06/mar-10365227.r1.v1.clear_stix.xml
MAR-10365227-2.v1 - Impacket 2,https://www.cisa.gov/news-events/analysis-reports/ar22-277b,MAR-10365227-2.v1 - Impacket 2,mar-10365227.r2.v1.clear_.pdf,https://www.cisa.gov/sites/default/files/2023-06/mar-10365227.r2.v1.clear_.pdf
